-,-,-
-214, -980, 340
-198, -901, 387
-145, -876, 427
-145, -876, 427
-153, -915, 414
-157, -934, 428
-165, -954, 377
-176, -997, 339
-148, -953, 408
-117, -914, 465
-147, -963, 444
-224, -1049, 418
-285, -1119, 458
-342, -1162, 462
-446, -1243, 444
-548, -1323, 424
-636, -1378, 424
-721, -1412, 452
-738, -1354, 438
-718, -1244, 441
-726, -1172, 408
-750, -1134, 396
-767, -1100, 420
-703, -1015, 433
-583, -866, 429
-505, -792, 400
-460, -767, 378
-460, -767, 378
-449, -800, 407
-386, -744, 423
-270, -615, 408
-158, -490, 391
-94, -413, 307
-85, -426, 224
-50, -413, 177
-25, -412, 206
-6, -433, 231
-6, -433, 231
17, -449, 159
15, -514, 167
30, -537, 217
79, -544, 253
143, -507, 285
143, -507, 285
191, -465, 287
264, -417, 244
342, -381, 258
346, -419, 304
315, -511, 339
351, -572, 450
394, -620, 491
394, -620, 491
447, -645, 412
472, -756, 519
498, -953, 633
560, -1071, 733
620, -1174, 838
624, -1342, 927
526, -1557, 911
566, -1492, 1071
592, -1488, 1074
571, -1379, 993
497, -1317, 907
497, -1317, 907
-,-,-
-149, -856, 407
-204, -914, 404
-231, -952, 310
-205, -918, 441
-208, -916, 426
-216, -945, 474
-189, -921, 442
-180, -923, 437
-180, -953, 464
-188, -970, 496
-188, -970, 496
-203, -994, 506
-292, -1101, 495
-475, -1302, 539
-678, -1520, 543
-829, -1671, 534
-873, -1666, 552
-846, -1568, 664
-826, -1499, 754
-795, -1403, 726
-698, -1215, 724
-603, -1071, 667
-568, -963, 611
-549, -881, 508
-510, -812, 478
-424, -657, 426
-364, -559, 389
-283, -453, 294
-177, -312, 215
-108, -213, 151
-88, -167, 72
-88, -167, 72
-113, -201, 44
-105, -167, 22
-134, -196, 14
-172, -229, -8
-156, -220, 18
-94, -197, 56
-94, -197, 56
-15, -159, 96
57, -136, 54
115, -130, 32
166, -149, 94
166, -149, 94
179, -232, 192
189, -358, 323
274, -454, 490
413, -529, 598
590, -606, 707
725, -765, 865
759, -992, 1034
759, -992, 1034
745, -1257, 1227
705, -1491, 1356
653, -1605, 1405
536, -1481, 1350
610, -1535, 1428
479, -1483, 1131
358, -1431, 971
280, -1343, 890
339, -1115, 788
372, -966, 711
-,-,-
-189, -850, 433
-194, -920, 394
-196, -914, 399
-173, -860, 384
-169, -865, 459
-176, -915, 514
-166, -920, 507
-166, -920, 507
-186, -965, 522
-230, -1021, 525
-308, -1108, 552
-446, -1243, 588
-584, -1331, 623
-696, -1377, 635
-839, -1478, 670
-962, -1513, 620
-955, -1396, 609
-871, -1185, 615
-825, -1048, 551
-792, -948, 529
-697, -825, 496
-589, -697, 447
-523, -643, 455
-461, -587, 428
-404, -564, 407
-313, -497, 371
-205, -412, 314
-100, -316, 230
-35, -269, 193
-35, -269, 193
-20, -286, 213
-10, -324, 232
0, -366, 210
23, -376, 166
51, -360, 165
51, -360, 165
56, -405, 197
88, -419, 210
137, -430, 267
187, -433, 292
195, -461, 290
208, -505, 297
208, -505, 297
269, -511, 342
333, -512, 479
374, -599, 565
438, -696, 618
517, -811, 664
563, -1014, 754
572, -1209, 947
572, -1209, 947
575, -1352, 1053
565, -1471, 1174
517, -1510, 1212
526, -1428, 1180
475, -1355, 1084
382, -1302, 896
332, -1184, 796
316, -1063, 715
-,-,-
-240, -953, 326
-134, -775, 385
-58, -741, 477
-58, -741, 477
-128, -934, 431
-182, -992, 391
-224, -986, 452
-342, -1008, 679
-684, -1300, 984
-1072, -1642, 1112
-1272, -1659, 959
-1252, -1542, 827
-1160, -1382, 855
-1028, -1155, 876
-832, -903, 849
-655, -734, 775
-554, -671, 665
-470, -620, 554
-377, -570, 492
-322, -538, 418
-265, -492, 378
-240, -465, 360
-220, -463, 312
-152, -384, 310
-64, -300, 293
-64, -300, 293
8, -241, 199
47, -239, 143
64, -248, 140
68, -244, 137
68, -281, 134
68, -281, 134
132, -250, 149
176, -265, 143
188, -300, 168
188, -356, 212
199, -422, 213
204, -517, 282
204, -517, 282
219, -598, 345
231, -682, 350
291, -788, 401
359, -864, 491
415, -957, 692
450, -1133, 842
492, -1278, 992
554, -1331, 1128
591, -1361, 1187
595, -1353, 1189
572, -1304, 1143
477, -1274, 1037
477, -1274, 1037
378, -1262, 902
296, -1210, 759
262, -1118, 660
248, -1033, 603
298, -880, 597
342, -719, 674
-,-,-
-123, -814, 578
-180, -987, 458
-197, -986, 492
-126, -829, 651
-169, -958, 705
-299, -1117, 755
-466, -1201, 801
-749, -1398, 895
-1052, -1577, 963
-1138, -1529, 868
-1143, -1361, 806
-1014, -1087, 741
-869, -879, 674
-786, -758, 615
-738, -694, 521
-706, -628, 444
-695, -640, 429
-612, -558, 468
-464, -438, 435
-353, -365, 372
-353, -365, 372
-285, -330, 316
-248, -313, 242
-221, -305, 176
-196, -333, 171
-160, -331, 180
-102, -323, 221
-51, -303, 275
13, -260, 262
75, -244, 262
75, -244, 262
133, -262, 291
189, -277, 237
224, -258, 172
203, -299, 231
194, -451, 293
242, -550, 390
361, -498, 446
361, -498, 446
421, -528, 483
369, -791, 541
327, -1085, 737
393, -1232, 928
477, -1350, 1184
525, -1425, 1291
543, -1473, 1329
-,-,-
-192, -948, 376
-156, -920, 436
-156, -920, 436
-198, -931, 597
-252, -1025, 687
-306, -1173, 746
-356, -1266, 798
-415, -1324, 852
-457, -1314, 904
-507, -1312, 904
-567, -1322, 872
-599, -1287, 756
-597, -1183, 649
-592, -1075, 536
-643, -1043, 464
-668, -996, 409
-657, -935, 376
-584, -800, 286
-523, -681, 252
-507, -643, 225
-479, -605, 189
-417, -534, 157
-359, -500, 124
-290, -452, 112
-229, -403, 103
-229, -403, 103
-207, -426, 86
-202, -492, 137
-161, -508, 151
-97, -488, 133
-35, -452, 143
25, -415, 103
55, -430, 53
55, -430, 53
94, -437, 62
190, -379, 112
305, -311, 148
364, -296, 153
340, -379, 159
340, -379, 159
322, -469, 249
329, -547, 396
362, -621, 528
411, -698, 637
464, -774, 725
479, -897, 742
446, -1107, 743
481, -1251, 841
481, -1251, 841
548, -1257, 936
-,-,-
-258, -864, 403
-273, -881, 433
-287, -891, 465
-329, -939, 617
-410, -1047, 664
-518, -1169, 725
-690, -1362, 831
-787, -1416, 790
-751, -1293, 736
-712, -1221, 748
-716, -1176, 761
-686, -1080, 728
-627, -959, 698
-591, -858, 592
-591, -858, 592
-610, -827, 514
-581, -748, 410
-534, -676, 372
-477, -623, 396
-382, -513, 419
-332, -458, 337
-326, -488, 302
-292, -503, 282
-196, -445, 348
-106, -408, 342
-48, -392, 354
-35, -443, 264
-35, -443, 264
-27, -493, 196
7, -499, 242
78, -467, 264
170, -408, 255
272, -337, 215
321, -349, 142
321, -349, 142
368, -338, 147
421, -300, 181
435, -320, 239
440, -368, 346
424, -467, 408
400, -623, 494
453, -753, 556
453, -753, 556
560, -850, 711
628, -985, 823
-,-,-
-176, -976, 359
-117, -911, 481
-170, -889, 519
-203, -923, 544
-241, -1068, 625
-351, -1201, 733
-485, -1340, 773
-546, -1352, 729
-546, -1284, 706
-596, -1283, 732
-625, -1239, 747
-633, -1200, 757
-639, -1161, 712
-603, -1073, 661
-526, -948, 600
-470, -875, 596
-470, -875, 596
-438, -863, 538
-364, -802, 493
-295, -730, 466
-256, -681, 448
-208, -614, 419
-159, -559, 378
-118, -509, 312
-93, -502, 228
-53, -468, 167
11, -399, 107
11, -399, 107
72, -335, 106
68, -360, 74
25, -457, 47
27, -488, 73
27, -488, 73
116, -401, 105
181, -347, 112
188, -358, 56
197, -407, 58
205, -446, 188
205, -446, 188
207, -497, 256
241, -509, 322
280, -527, 379
293, -589, 383
333, -666, 419
317, -773, 486
259, -976, 515
259, -976, 515
246, -1142, 607
284, -1207, 690
340, -1274, 763
404, -1320, 929
-,-,-
-71, -1021, 525
-102, -1149, 435
-140, -1075, 601
-239, -1120, 650
-401, -1249, 682
-574, -1379, 759
-691, -1449, 753
-749, -1422, 654
-717, -1260, 597
-673, -1137, 576
-651, -1065, 566
-638, -1024, 569
-640, -1010, 560
-615, -943, 481
-615, -943, 481
-543, -840, 430
-462, -750, 471
-358, -631, 446
-255, -536, 383
-210, -521, 329
-159, -490, 264
-122, -482, 211
-102, -496, 175
-82, -501, 141
-44, -488, 152
-35, -506, 204
-35, -506, 204
-40, -551, 227
-17, -547, 219
24, -518, 211
89, -464, 214
154, -403, 188
181, -405, 161
181, -405, 161
142, -478, 138
135, -488, 149
144, -519, 245
138, -554, 312
134, -573, 320
117, -623, 350
114, -635, 388
114, -635, 388
177, -601, 446
249, -585, 511
294, -614, 590
332, -691, 634
338, -881, 735
348, -1099, 844
-,-,-
-82, -748, 563
-136, -856, 501
-151, -882, 473
-128, -839, 502
-135, -825, 540
-175, -884, 569
-234, -922, 562
-297, -999, 549
-297, -999, 549
-340, -1047, 640
-424, -1112, 719
-540, -1209, 834
-633, -1298, 856
-721, -1378, 844
-756, -1363, 825
-741, -1246, 778
-713, -1155, 739
-677, -1063, 708
-614, -958, 641
-565, -871, 596
-538, -811, 585
-508, -773, 528
-456, -711, 449
-367, -583, 370
-322, -558, 338
-277, -534, 337
-235, -516, 319
-188, -470, 242
-155, -431, 200
-155, -431, 200
-138, -437, 161
-125, -466, 147
-101, -457, 173
-71, -448, 210
-58, -459, 200
-43, -469, 192
15, -428, 216
116, -342, 225
116, -342, 186
211, -253, 186
263, -234, 183
308, -214, 289
362, -210, 336
378, -270, 378
380, -342, 417
401, -421, 477
401, -421, 477
423, -518, 553
402, -747, 667
398, -1003, 744
408, -1212, 881
417, -1378, 1004
501, -1425, 1108
584, -1422, 1238
616, -1378, 1313
-,-,-
-26, -819, 427
-128, -949, 510
-173, -952, 574
-106, -861, 642
-136, -921, 671
-217, -1021, 682
-282, -1068, 709
-361, -1157, 720
-498, -1268, 720
-597, -1278, 756
-670, -1307, 790
-741, -1338, 846
-746, -1269, 879
-722, -1173, 878
-699, -1082, 812
-691, -1019, 712
-624, -898, 627
-624, -898, 627
-563, -803, 549
-504, -726, 537
-416, -633, 536
-335, -558, 502
-259, -487, 433
-201, -435, 328
-155, -404, 301
-159, -432, 303
-214, -527, 253
-181, -489, 201
-113, -417, 196
-64, -379, 145
-64, -379, 145
-38, -380, 153
-20, -384, 205
16, -367, 171
80, -323, 150
152, -277, 137
169, -337, 155
169, -337, 155
177, -402, 203
211, -407, 246
234, -439, 301
217, -560, 372
201, -746, 481
249, -837, 541
416, -787, 562
416, -787, 562
576, -782, 570
682, -825, 629
702, -899, 718
664, -1083, 716
590, -1215, 819
539, -1245, 910
501, -1246, 929
453, -1236, 911
387, -1267, 927
333, -1292, 937
333, -1292, 937
-,-,-
-109, -914, 512
-110, -985, 367
-137, -1027, 517
-103, -981, 704
-93, -930, 787
-93, -930, 787
-142, -933, 705
-265, -1041, 647
-366, -1144, 662
-456, -1222, 750
-519, -1250, 815
-597, -1282, 803
-654, -1256, 812
-680, -1223, 758
-695, -1200, 708
-657, -1100, 674
-609, -990, 600
-574, -928, 557
-510, -854, 510
-398, -741, 485
-337, -717, 500
-267, -653, 469
-244, -641, 464
-300, -747, 409
-300, -747, 409
-260, -735, 419
-85, -519, 496
84, -314, 376
117, -294, 216
68, -366, 85
34, -415, 61
34, -415, 61
26, -467, 95
56, -456, 79
105, -416, 76
156, -380, 67
156, -380, 67
166, -406, 97
178, -443, 125
205, -450, 163
213, -471, 202
236, -480, 235
291, -471, 185
291, -471, 185
363, -388, 183
380, -414, 319
351, -541, 444
294, -733, 488
303, -864, 532
391, -922, 582
410, -1039, 649
410, -1039, 649
360, -1258, 786
357, -1399, 854
355, -1476, 961
377, -1470, 1105
399, -1417, 1137
-,-,-
-64, -887, 520
15, -871, 502
33, -724, 651
18, -780, 614
-34, -890, 660
-80, -973, 704
-166, -1105, 803
-307, -1339, 910
-307, -1339, 910
-281, -1255, 938
-266, -1184, 973
-319, -1222, 1036
-419, -1242, 1041
-530, -1199, 960
-530, -1199, 826
-477, -1039, 826
-427, -904, 691
-402, -806, 579
-405, -763, 511
-417, -733, 488
-404, -663, 439
-382, -604, 328
-360, -566, 259
-336, -524, 217
-336, -538, 215
-325, -550, 155
-284, -534, 152
-227, -510, 157
-177, -493, 170
-176, -523, 219
-176, -523, 219
-221, -593, 245
-211, -594, 239
-129, -511, 240
-33, -413, 193
26, -400, 107
97, -361, 70
195, -310, 69
195, -310, 69
300, -245, 106
395, -176, 224
400, -249, 335
301, -455, 423
229, -610, 480
308, -587, 518
440, -511, 525
440, -511, 525
433, -646, 596
408, -863, 719
462, -998, 760
529, -1040, 783
524, -1134, 965
481, -1301, 1128
469, -1353, 1208
