-,-,-
-51, -766, 182
-157, -766, 158
-157, -774, 149
-138, -818, 179
-172, -860, 205
-135, -854, 105
-118, -870, 122
-124, -890, 85
-141, -954, 43
-190, -979, 1
-190, -979, 1
-157, -979, 143
-158, -981, 195
-144, -970, 159
-188, -986, 16
-226, -964, 93
-306, -830, 204
-439, -640, 131
-551, -362, 96
-551, -362, 96
-752, -175, 231
-977, -168, 254
-1056, -215, 349
-1143, -264, 343
-1030, -363, 146
-794, -458, -78
-589, -555, -196
-159, -713, 186
310, -933, 716
709, -1114, 871
702, -1270, 909
550, -1411, 1039
479, -1572, 1180
471, -1683, 1246
617, -1674, 1212
574, -1603, 1012
499, -1496, 730
690, -1384, 625
871, -1208, 626
871, -1208, 626
916, -1109, 333
905, -1059, 246
878, -969, 451
938, -825, 661
1036, -719, 699
1053, -637, 630
1061, -555, 535
712, -577, 472
253, -654, 446
12, -682, 611
12, -682, 611
-166, -671, 888
-388, -597, 835
-664, -582, 719
-1005, -627, 1143
-1226, -684, 1310
-1283, -749, 1236
-1372, -824, 896
-1298, -847, 507
-962, -834, 447
-705, -798, 480
-707, -790, 511
-699, -867, 590
-526, -869, 735
-327, -872, 669
-238, -873, 645
-301, -933, 616
-,-,-
-95, -888, 132
-113, -927, 114
-212, -950, 116
-279, -1031, 74
-336, -1078, 147
-249, -1079, 202
-222, -1041, 316
-332, -1065, 264
-323, -1049, 200
-287, -993, 303
-287, -993, 303
-366, -915, 257
-398, -656, 343
-507, -335, 90
-565, -20, -121
-648, 122, 92
-983, 52, 448
-1100, -38, 631
-1139, -193, 397
-1097, -290, -64
-704, -297, -230
-221, -487, 212
199, -783, 637
199, -783, 637
488, -1080, 478
777, -1214, 556
761, -1374, 835
623, -1622, 1245
442, -1755, 1522
205, -1789, 1583
130, -1762, 1235
165, -1647, 924
241, -1510, 741
417, -1393, 573
534, -1238, 577
608, -1153, 593
579, -1102, 570
758, -1034, 695
953, -925, 801
953, -925, 801
1030, -873, 746
951, -864, 671
952, -790, 611
1032, -672, 663
789, -632, 635
462, -564, 771
44, -499, 868
44, -499, 868
-430, -472, 931
-753, -404, 1169
-1117, -444, 1096
-1405, -499, 1013
-1348, -471, 801
-1259, -444, 784
-1304, -485, 816
-1272, -561, 635
-1065, -579, 660
-879, -632, 606
-706, -714, 550
-528, -766, 761
-463, -793, 722
-428, -803, 617
-387, -823, 594
-,-,-
-392, -694, 442
-213, -629, 278
-232, -549, 183
-232, -549, 183
-621, -404, 260
-847, -280, 182
-688, -82, 404
-626, -33, 339
-788, -73, 230
-1068, -158, 214
-1227, -314, 229
-983, -471, 286
-373, -603, 610
80, -648, 604
98, -824, 535
98, -824, 535
214, -1122, 905
551, -1323, 1052
807, -1362, 1034
835, -1491, 911
666, -1778, 994
615, -1873, 1064
687, -1830, 1098
617, -1737, 1049
451, -1588, 800
399, -1420, 561
446, -1276, 533
571, -1107, 592
683, -1010, 594
759, -921, 534
759, -921, 534
814, -885, 486
890, -845, 549
776, -782, 765
477, -721, 747
232, -709, 641
127, -613, 760
-143, -536, 992
-143, -536, 992
-574, -487, 1024
-789, -448, 937
-1056, -429, 963
-1201, -388, 817
-1054, -355, 655
-964, -383, 719
-958, -493, 927
-906, -590, 840
-788, -666, 699
-733, -795, 782
-556, -856, 862
-375, -826, 771
-300, -778, 641
-338, -775, 591
-346, -791, 593
-313, -824, 620
-313, -824, 620
-253, -808, 618
-160, -792, 652
-206, -810, 677
-293, -868, 671
-,-,-
-701, -338, 479
-735, -265, 336
